ano,prioridade_ia_h,n,pct
2023,1. Principal prioridade da empresa,110,12.3
2023,2. Entre as principais (2-4 anos),214,23.9
2023,"3. Iniciativas isoladas, sem foco",275,30.7
2023,4. Não é prioridade,258,28.8
2023,5. Não sabe opinar,39,4.4
2024,1. Principal prioridade da empresa,235,22.5
2024,2. Entre as principais (2-4 anos),325,31.1
2024,"3. Iniciativas isoladas, sem foco",301,28.8
2024,4. Não é prioridade,155,14.8
2024,5. Não sabe opinar,29,2.8
2025,1. Principal prioridade da empresa,155,23.8
2025,2. Entre as principais (2-4 anos),240,36.8
2025,"3. Iniciativas isoladas, sem foco",169,25.9
2025,4. Não é prioridade,74,11.3
2025,5. Não sabe opinar,14,2.1
